loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,loan_status,term_int,grade_int,emp_length_int,home_ownership_int,verification_status_int,purpose_int,income_tax
1800, 36 months,19.52,66.46,E,< 1 year,MORTGAGE,130000.0,Verified,other,15.49,0.0,Fully Paid,0,4,0,0,0,0,9750.0
6800, 36 months,7.97,213.0,A,5 years,OWN,102960.0,Source Verified,debt_consolidation,10.54,2.0,Fully Paid,0,0,5,1,1,1,7722.0
18000, 36 months,12.49,602.08,B,1 year,MORTGAGE,60000.0,Verified,debt_consolidation,27.06,0.0,Fully Paid,0,1,1,0,0,1,0.0
17375, 36 months,13.11,586.36,B,7 years,MORTGAGE,49000.0,Source Verified,home_improvement,11.76,0.0,Charged Off,0,1,7,0,1,2,0.0
14000, 60 months,13.59,322.79,C,7 years,MORTGAGE,45000.0,Source Verified,debt_consolidation,14.32,0.0,Current,1,2,7,0,1,1,0.0
35000, 60 months,12.73,791.53,B,9 years,RENT,125000.0,Source Verified,debt_consolidation,31.85,0.0,Current,1,1,9,2,1,1,9375.0
8000, 36 months,12.74,268.56,C,3 years,MORTGAGE,35000.0,Not Verified,debt_consolidation,14.99,0.0,Fully Paid,0,2,3,0,2,1,0.0
35000, 60 months,17.57,880.61,D,10+ years,MORTGAGE,170000.0,Source Verified,debt_consolidation,8.43,3.0,Fully Paid,1,3,10,0,1,1,12750.0
3000, 36 months,11.49,98.92,B,10+ years,MORTGAGE,30000.0,Verified,credit_card,28.92,2.0,Fully Paid,0,1,10,0,0,3,0.0
6000, 36 months,14.03,205.16,C,4 years,MORTGAGE,48000.0,Verified,debt_consolidation,19.92,1.0,Fully Paid,0,2,4,0,0,1,0.0
3025, 36 months,9.58,97.02,B,10+ years,MORTGAGE,85000.0,Not Verified,debt_consolidation,12.09,0.0,Current,0,1,10,0,2,1,6375.0
12875, 36 months,13.67,437.98,B,4 years,RENT,65000.0,Not Verified,debt_consolidation,11.48,0.0,Fully Paid,0,1,4,2,2,1,0.0
10800, 60 months,18.55,277.5,E,< 1 year,RENT,60000.0,Source Verified,debt_consolidation,14.04,0.0,Fully Paid,1,4,0,2,1,1,0.0
7000, 36 months,7.89,219.0,A,5 years,RENT,33000.0,Source Verified,debt_consolidation,16.71,0.0,Current,0,0,5,2,1,1,0.0
10000, 36 months,12.62,335.12,C,10+ years,MORTGAGE,60000.0,Verified,debt_consolidation,27.69,0.0,Current,0,2,10,0,0,1,0.0
30000, 36 months,6.99,926.18,A,4 years,MORTGAGE,150000.0,Verified,home_improvement,0.2,0.0,Fully Paid,0,0,4,0,0,2,11250.0
24000, 60 months,9.93,509.11,B,6 years,RENT,121620.0,Source Verified,other,1.3,0.0,Current,1,1,6,2,1,0,9121.5
16000, 60 months,14.33,375.04,C,8 years,MORTGAGE,88541.0,Source Verified,debt_consolidation,14.64,0.0,Fully Paid,1,2,8,0,1,1,6640.575
16000, 36 months,6.97,493.82,A,2 years,MORTGAGE,180000.0,Verified,debt_consolidation,14.66,0.0,Fully Paid,0,0,2,0,0,1,13500.0
16000, 60 months,14.46,376.12,C,7 years,RENT,57900.0,Verified,debt_consolidation,20.64,0.0,Current,1,2,7,2,0,1,0.0
19200, 60 months,8.18,390.97,B,,MORTGAGE,85884.0,Source Verified,debt_consolidation,21.15,0.0,Fully Paid,1,1,-1,0,1,1,6441.3
4000, 36 months,12.12,133.09,B,3 years,RENT,42000.0,Source Verified,car,7.97,0.0,Fully Paid,0,1,3,2,1,4,0.0
10000, 36 months,10.9,326.92,B,10+ years,RENT,40000.0,Source Verified,debt_consolidation,25.35,0.0,Current,0,1,10,2,1,1,0.0
17350, 36 months,10.99,567.94,B,10+ years,OWN,51900.0,Source Verified,credit_card,12.37,0.0,Current,0,1,10,1,1,3,0.0
1200, 36 months,11.49,39.57,B,1 year,MORTGAGE,75000.0,Source Verified,debt_consolidation,14.21,0.0,Fully Paid,0,1,1,0,1,1,5625.0
20000, 60 months,9.75,422.49,B,1 year,OWN,85200.0,Source Verified,debt_consolidation,8.03,0.0,Fully Paid,1,1,1,1,1,1,6390.0
12000, 36 months,18.94,439.51,D,8 years,RENT,48000.0,Source Verified,credit_card,14.3,0.0,Current,0,3,8,2,1,3,0.0
30000, 60 months,18.06,762.79,D,6 years,MORTGAGE,59610.0,Verified,credit_card,22.94,0.0,Current,1,3,6,0,0,3,0.0
30000, 60 months,20.2,798.16,D,6 years,MORTGAGE,92000.0,Source Verified,debt_consolidation,12.21,0.0,Fully Paid,1,3,6,0,1,1,6900.0
3000, 36 months,10.08,96.92,B,10+ years,MORTGAGE,48000.0,Not Verified,home_improvement,14.93,0.0,Current,0,1,10,0,2,2,0.0
6000, 36 months,13.67,204.11,B,< 1 year,RENT,38000.0,Not Verified,debt_consolidation,7.14,1.0,Fully Paid,0,1,0,2,2,1,0.0
10000, 36 months,7.24,309.87,A,1 year,RENT,70000.0,Verified,credit_card,6.41,1.0,Current,0,0,1,2,0,3,5250.0
3000, 36 months,12.62,100.54,C,< 1 year,MORTGAGE,60000.0,Verified,debt_consolidation,27.42,0.0,Current,0,2,0,0,0,1,0.0
11000, 60 months,12.69,248.55,C,4 years,RENT,48000.0,Not Verified,credit_card,17.03,0.0,Current,1,2,4,2,2,3,0.0
12800, 36 months,7.35,397.28,A,2 years,MORTGAGE,95000.0,Not Verified,debt_consolidation,18.85,1.0,Fully Paid,0,0,2,0,2,1,7125.0
7875, 36 months,6.89,242.77,A,7 years,MORTGAGE,80000.0,Verified,credit_card,17.24,0.0,Fully Paid,0,0,7,0,0,3,6000.0
6000, 36 months,16.91,213.65,C,9 years,RENT,150000.0,Not Verified,debt_consolidation,9.99,0.0,Current,0,2,9,2,2,1,11250.0
13825, 36 months,14.99,479.19,C,7 years,RENT,110000.0,Verified,debt_consolidation,12.42,1.0,Charged Off,0,2,7,2,0,1,8250.0
3000, 36 months,9.44,96.02,B,2 years,RENT,52000.0,Verified,other,13.87,0.0,Current,0,1,2,2,0,0,0.0
8400, 36 months,12.29,280.17,C,10+ years,RENT,45000.0,Not Verified,debt_consolidation,26.37,1.0,Fully Paid,0,2,10,2,2,1,0.0
20000, 36 months,11.44,658.95,B,2 years,MORTGAGE,85000.0,Verified,debt_consolidation,25.68,0.0,Fully Paid,0,1,2,0,0,1,6375.0
12300, 60 months,19.97,325.67,D,< 1 year,RENT,40000.0,Verified,credit_card,34.44,1.0,Fully Paid,1,3,0,2,0,3,0.0
6000, 36 months,10.91,196.18,B,2 years,RENT,60000.0,Source Verified,debt_consolidation,12.22,1.0,Current,0,1,2,2,1,1,0.0
10000, 36 months,5.32,301.15,A,2 years,RENT,53000.0,Verified,small_business,12.09,0.0,Current,0,0,2,2,0,5,0.0
18600, 36 months,11.99,617.7,B,3 years,MORTGAGE,90000.0,Source Verified,medical,32.72,0.0,Current,0,1,3,0,1,6,6750.0
9000, 36 months,8.9,285.78,A,10+ years,MORTGAGE,65090.0,Source Verified,credit_card,23.64,0.0,Fully Paid,0,0,10,0,1,3,4881.75
16000, 36 months,11.44,527.16,B,10+ years,RENT,145000.0,Source Verified,debt_consolidation,13.61,0.0,Current,0,1,10,2,1,1,10875.0
12000, 60 months,12.69,271.14,C,< 1 year,MORTGAGE,63000.0,Verified,credit_card,26.04,0.0,Fully Paid,1,2,0,0,0,3,0.0
6000, 36 months,8.08,188.24,A,4 years,MORTGAGE,42000.0,Verified,debt_consolidation,15.65,0.0,Current,0,0,4,0,0,1,0.0
10000, 36 months,7.97,313.23,A,3 years,RENT,28000.0,Source Verified,home_improvement,2.19,0.0,Current,0,0,3,2,1,2,0.0
10000, 36 months,22.74,385.75,E,6 years,OWN,30000.0,Not Verified,credit_card,16.9,0.0,Fully Paid,0,4,6,1,2,3,0.0
24500, 60 months,19.92,648.02,D,< 1 year,RENT,50000.0,Source Verified,debt_consolidation,32.89,0.0,Current,1,3,0,2,1,1,0.0
6500, 36 months,20.99,244.86,E,5 years,MORTGAGE,45000.0,Not Verified,home_improvement,15.63,0.0,Fully Paid,0,4,5,0,2,2,0.0
14000, 60 months,18.25,357.42,D,10+ years,MORTGAGE,73000.0,Verified,debt_consolidation,31.35,1.0,Fully Paid,1,3,10,0,0,1,5475.0
8000, 36 months,11.67,264.46,B,8 years,MORTGAGE,63000.0,Not Verified,credit_card,4.42,1.0,Fully Paid,0,1,8,0,2,3,0.0
10000, 36 months,10.99,327.34,B,,OWN,148000.0,Source Verified,home_improvement,11.28,1.0,Fully Paid,0,1,-1,1,1,2,11100.0
16400, 36 months,16.55,581.04,D,10+ years,RENT,70000.0,Verified,debt_consolidation,28.65,0.0,Charged Off,0,3,10,2,0,1,5250.0
15000, 36 months,16.91,534.12,C,< 1 year,RENT,80000.0,Not Verified,debt_consolidation,8.52,0.0,Current,0,2,0,2,2,1,6000.0
21075, 60 months,19.52,552.75,E,10+ years,MORTGAGE,60000.0,Source Verified,debt_consolidation,23.96,0.0,Charged Off,1,4,10,0,1,1,0.0
35000, 36 months,7.96,1096.13,A,4 years,OWN,130000.0,Not Verified,credit_card,20.59,0.0,Current,0,0,4,1,2,3,9750.0
19350, 36 months,11.53,638.37,B,10+ years,OWN,55000.0,Source Verified,debt_consolidation,29.76,0.0,Fully Paid,0,1,10,1,1,1,0.0
8650, 36 months,11.39,284.8,B,2 years,MORTGAGE,51000.0,Source Verified,major_purchase,15.58,0.0,Fully Paid,0,1,2,0,1,7,0.0
10000, 36 months,9.67,321.13,B,2 years,RENT,45000.0,Source Verified,debt_consolidation,22.37,0.0,Fully Paid,0,1,2,2,1,1,0.0
16000, 36 months,7.84,500.21,A,10+ years,RENT,120000.0,Not Verified,debt_consolidation,16.26,0.0,Current,0,0,10,2,2,1,9000.0
6400, 36 months,7.89,200.23,A,1 year,RENT,31200.0,Not Verified,debt_consolidation,17.16,2.0,Fully Paid,0,0,1,2,2,1,0.0
16000, 36 months,7.39,496.9,A,,MORTGAGE,65000.0,Not Verified,debt_consolidation,9.66,0.0,Current,0,0,-1,0,2,1,0.0
10000, 36 months,22.35,383.72,E,< 1 year,OWN,21840.0,Verified,debt_consolidation,40.33,4.0,Charged Off,0,4,0,1,0,1,0.0
6000, 36 months,18.85,219.49,D,10+ years,OWN,65000.0,Not Verified,home_improvement,22.91,0.0,Fully Paid,0,3,10,1,2,2,0.0
7000, 36 months,10.16,226.4,B,4 years,MORTGAGE,70000.0,Verified,debt_consolidation,17.32,0.0,Fully Paid,0,1,4,0,0,1,5250.0
15000, 36 months,8.9,476.3,A,8 years,RENT,50000.0,Not Verified,debt_consolidation,19.01,0.0,Charged Off,0,0,8,2,2,1,0.0
35000, 60 months,6.0,712.19,C,10+ years,OWN,145000.0,Verified,debt_consolidation,21.16,4.0,Current,1,2,10,1,0,1,10875.0
16000, 36 months,10.72,521.71,B,8 years,RENT,40000.0,Source Verified,debt_consolidation,20.94,0.0,Current,0,1,8,2,1,1,0.0
28000, 60 months,24.85,819.38,E,< 1 year,MORTGAGE,78000.0,Not Verified,home_improvement,19.88,3.0,Fully Paid,1,4,0,0,2,2,5850.0
40000, 60 months,29.99,1293.9,F,10+ years,MORTGAGE,438000.0,Source Verified,debt_consolidation,12.67,1.0,Fully Paid,1,5,10,0,1,1,32850.0
8000, 36 months,15.99,281.22,C,10+ years,MORTGAGE,78600.0,Verified,debt_consolidation,28.12,0.0,Charged Off,0,2,10,0,0,1,5895.0
10000, 60 months,20.0,264.94,D,3 years,RENT,31200.0,Verified,debt_consolidation,22.58,0.0,Current,1,3,3,2,0,1,0.0
8000, 36 months,11.49,263.78,B,10+ years,MORTGAGE,100000.0,Verified,debt_consolidation,25.3,0.0,Current,0,1,10,0,0,1,7500.0
