loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,loan_status,term_int,grade_int,emp_length_int,home_ownership_int,verification_status_int,purpose_int,income_tax
10000, 36 months,7.21,309.74,A,2 years,RENT,64000.0,Not Verified,debt_consolidation,27.4,0.0,Current,0,0,2,2,2,1,0.0
12000, 60 months,15.61,289.34,D,10+ years,RENT,69000.0,Source Verified,debt_consolidation,30.21,0.0,Fully Paid,1,3,10,2,1,1,5175.0
3950, 36 months,16.02,138.91,C,6 years,MORTGAGE,70000.0,Verified,other,29.85,0.0,Current,0,2,6,0,0,0,5250.0
5000, 36 months,6.24,152.66,A,2 years,MORTGAGE,33280.0,Source Verified,credit_card,18.46,0.0,Fully Paid,0,0,2,0,1,3,0.0
9000, 36 months,5.31,271.0,A,10+ years,MORTGAGE,38000.0,Not Verified,debt_consolidation,6.54,0.0,Current,0,0,10,0,2,1,0.0
18000, 60 months,13.67,415.76,C,4 years,RENT,46000.0,Source Verified,debt_consolidation,16.88,0.0,Fully Paid,1,2,4,2,1,1,0.0
19800, 36 months,11.49,652.84,B,4 years,MORTGAGE,80000.0,Verified,credit_card,21.6,0.0,Fully Paid,0,1,4,0,0,3,6000.0
40000, 36 months,10.91,1307.85,B,2 years,OWN,150000.0,Not Verified,credit_card,22.2,0.0,Fully Paid,0,1,2,1,2,3,11250.0
5600, 36 months,6.67,172.07,A,,MORTGAGE,44000.0,Source Verified,home_improvement,11.65,0.0,Current,0,0,-1,0,1,2,0.0
40000, 60 months,12.62,902.37,C,< 1 year,MORTGAGE,125000.0,Verified,credit_card,21.2,0.0,Charged Off,1,2,0,0,0,3,9375.0
6000, 36 months,15.02,208.06,C,1 year,OWN,40000.0,Not Verified,credit_card,17.85,0.0,Current,0,2,1,1,2,3,0.0
16000, 36 months,8.67,506.35,B,4 years,MORTGAGE,60012.0,Not Verified,other,10.72,0.0,Fully Paid,0,1,4,0,2,0,0.0
12150, 36 months,13.49,412.26,C,5 years,MORTGAGE,125000.0,Source Verified,home_improvement,16.48,1.0,Current,0,2,5,0,1,2,9375.0
12000, 36 months,15.61,419.58,D,2 years,MORTGAGE,60000.0,Source Verified,home_improvement,17.52,0.0,Fully Paid,0,3,2,0,1,2,0.0
16750, 60 months,14.33,392.62,C,4 years,MORTGAGE,48464.0,Verified,credit_card,30.58,0.0,Fully Paid,1,2,4,0,0,3,0.0
14400, 36 months,13.49,488.6,C,10+ years,ANY,97000.0,Verified,debt_consolidation,24.73,0.0,Current,0,2,10,3,0,1,7275.0
6025, 36 months,13.99,205.9,C,< 1 year,MORTGAGE,90000.0,Source Verified,debt_consolidation,25.04,1.0,Fully Paid,0,2,0,0,1,1,6750.0
11200, 36 months,11.44,369.02,B,9 years,RENT,80000.0,Not Verified,debt_consolidation,26.4,0.0,Charged Off,0,1,9,2,2,1,6000.0
10000, 60 months,23.88,286.99,E,5 years,RENT,45000.0,Verified,debt_consolidation,28.95,0.0,Current,1,4,5,2,0,1,0.0
15000, 36 months,8.24,471.71,B,10+ years,MORTGAGE,75000.0,Source Verified,debt_consolidation,7.86,0.0,Fully Paid,0,1,10,0,1,1,5625.0
14000, 60 months,13.33,320.92,C,10+ years,MORTGAGE,41000.0,Not Verified,debt_consolidation,14.26,0.0,Fully Paid,1,2,10,0,2,1,0.0
7200, 36 months,11.14,236.2,B,10+ years,MORTGAGE,142000.0,Verified,debt_consolidation,24.32,0.0,Fully Paid,0,1,10,0,0,1,10650.0
8000, 36 months,16.91,284.87,C,7 years,RENT,45343.9,Source Verified,debt_consolidation,23.11,0.0,Current,0,2,7,2,1,1,0.0
8400, 36 months,13.11,283.48,B,6 years,RENT,51000.0,Source Verified,debt_consolidation,6.45,0.0,Fully Paid,0,1,6,2,1,1,0.0
27500, 36 months,10.42,892.79,B,8 years,MORTGAGE,142000.0,Not Verified,debt_consolidation,15.98,1.0,Current,0,1,8,0,2,1,10650.0
11000, 36 months,6.83,338.8,A,2 years,RENT,30200.0,Not Verified,credit_card,9.74,0.0,Current,0,0,2,2,2,3,0.0
35000, 60 months,21.18,950.42,E,5 years,MORTGAGE,86000.0,Verified,debt_consolidation,15.92,0.0,Current,1,4,5,0,0,1,6450.0
6000, 36 months,8.46,189.3,A,2 years,RENT,45000.0,Source Verified,credit_card,30.4,0.0,Current,0,0,2,2,1,3,0.0
10000, 60 months,12.69,225.95,C,3 years,RENT,65000.0,Source Verified,debt_consolidation,9.03,1.0,Fully Paid,1,2,3,2,1,1,0.0
14000, 36 months,6.03,426.1,A,,MORTGAGE,50000.0,Source Verified,home_improvement,13.27,0.0,Fully Paid,0,0,-1,0,1,2,0.0
4000, 36 months,15.99,140.61,C,8 years,RENT,65000.0,Source Verified,debt_consolidation,16.88,0.0,Fully Paid,0,2,8,2,1,1,0.0
20000, 60 months,20.48,535.24,G,10+ years,MORTGAGE,63820.0,Verified,debt_consolidation,2.44,6.0,Charged Off,1,6,10,0,0,1,0.0
7000, 36 months,7.21,216.82,A,10+ years,MORTGAGE,110000.0,Not Verified,home_improvement,12.03,0.0,Current,0,0,10,0,2,2,8250.0
20000, 36 months,14.47,688.13,C,10+ years,RENT,55000.0,Not Verified,credit_card,52.43,0.0,Current,0,2,10,2,2,3,0.0
10750, 36 months,15.8,376.88,C,10+ years,OWN,47000.0,Verified,debt_consolidation,14.09,0.0,Fully Paid,0,2,10,1,0,1,0.0
9000, 36 months,13.99,307.56,C,2 years,OWN,65000.0,Not Verified,debt_consolidation,33.12,0.0,In Grace Period,0,2,2,1,2,1,0.0
17000, 36 months,6.07,517.72,A,10+ years,MORTGAGE,99000.0,Not Verified,debt_consolidation,13.68,0.0,Current,0,0,10,0,2,1,7425.0
20000, 60 months,18.06,508.53,D,1 year,RENT,80000.0,Source Verified,credit_card,22.91,0.0,Current,1,3,1,2,1,3,6000.0
5000, 36 months,14.65,172.48,C,10+ years,RENT,135000.0,Source Verified,vacation,13.98,2.0,Fully Paid,0,2,10,2,1,8,10125.0
35000, 36 months,21.49,1327.45,D,8 years,MORTGAGE,94000.0,Source Verified,debt_consolidation,26.31,0.0,Fully Paid,0,3,8,0,1,1,7050.0
20000, 36 months,6.89,616.54,A,,OWN,45000.0,Verified,credit_card,30.13,0.0,Fully Paid,0,0,-1,1,0,3,0.0
27425, 60 months,12.62,618.69,C,10+ years,RENT,100000.0,Not Verified,debt_consolidation,19.6,0.0,Current,1,2,10,2,2,1,7500.0
4000, 36 months,14.09,136.89,B,3 years,RENT,20000.0,Not Verified,debt_consolidation,6.78,0.0,Fully Paid,0,1,3,2,2,1,0.0
10000, 36 months,11.49,329.72,B,8 years,OWN,90000.0,Verified,other,16.07,2.0,Current,0,1,8,1,0,0,6750.0
40000, 60 months,12.62,902.37,C,3 years,MORTGAGE,117000.0,Source Verified,other,14.31,0.0,Late (31-120 days),1,2,3,0,1,0,8775.0
12000, 36 months,9.93,386.82,B,5 years,RENT,65000.0,Source Verified,credit_card,18.69,0.0,Current,0,1,5,2,1,3,0.0
7500, 36 months,13.99,256.3,C,3 years,RENT,24000.0,Source Verified,debt_consolidation,33.85,0.0,Fully Paid,0,2,3,2,1,1,0.0
10000, 36 months,15.02,346.76,C,8 years,RENT,84996.0,Not Verified,major_purchase,13.68,0.0,Current,0,2,8,2,2,7,6374.7
10000, 36 months,10.99,327.34,B,7 years,MORTGAGE,160000.0,Not Verified,credit_card,17.63,3.0,Fully Paid,0,1,7,0,2,3,12000.0
12000, 36 months,12.74,402.83,C,10+ years,RENT,70000.0,Not Verified,credit_card,32.56,0.0,Fully Paid,0,2,10,2,2,3,5250.0
10000, 60 months,18.99,259.36,E,2 years,RENT,40000.0,Verified,debt_consolidation,17.43,0.0,Fully Paid,1,4,2,2,0,1,0.0
36000, 60 months,12.73,814.15,B,10+ years,MORTGAGE,90000.0,Source Verified,home_improvement,15.61,0.0,Current,1,1,10,0,1,2,6750.0
12000, 36 months,11.49,395.66,B,3 years,RENT,80000.0,Source Verified,debt_consolidation,24.55,0.0,Fully Paid,0,1,3,2,1,1,6000.0
21825, 60 months,14.08,508.74,C,1 year,RENT,91000.0,Not Verified,credit_card,19.06,0.0,Current,1,2,1,2,2,3,6825.0
15000, 36 months,10.99,491.01,B,4 years,RENT,52700.0,Source Verified,credit_card,15.83,0.0,Current,0,1,4,2,1,3,0.0
10000, 36 months,11.49,329.72,B,10+ years,RENT,64000.0,Source Verified,credit_card,12.92,1.0,Current,0,1,10,2,1,3,0.0
18350, 60 months,18.84,474.4,E,5 years,RENT,40000.0,Source Verified,debt_consolidation,31.84,0.0,Fully Paid,1,4,5,2,1,1,0.0
10000, 36 months,11.99,332.1,B,2 years,RENT,60000.0,Source Verified,credit_card,22.96,0.0,Fully Paid,0,1,2,2,1,3,0.0
16000, 60 months,27.49,493.27,F,,OWN,70400.0,Verified,debt_consolidation,25.11,0.0,Fully Paid,1,5,-1,1,0,1,5280.0
10000, 60 months,19.24,260.73,E,10+ years,OWN,40000.0,Source Verified,debt_consolidation,13.86,1.0,Fully Paid,1,4,10,1,1,1,0.0
21000, 60 months,13.99,488.53,C,10+ years,RENT,48418.0,Source Verified,debt_consolidation,35.89,0.0,Current,1,2,10,2,1,1,0.0
20000, 36 months,13.53,679.0,B,7 years,MORTGAGE,170000.0,Verified,debt_consolidation,10.86,1.0,Fully Paid,0,1,7,0,0,1,12750.0
20000, 36 months,16.02,703.34,C,10+ years,MORTGAGE,85000.0,Not Verified,debt_consolidation,16.74,0.0,Fully Paid,0,2,10,0,2,1,6375.0
35000, 36 months,15.05,1214.15,C,2 years,OWN,46800.0,Source Verified,major_purchase,6.92,0.0,Fully Paid,0,2,2,1,1,7,0.0
19000, 36 months,11.31,624.83,B,1 year,RENT,42000.0,Source Verified,debt_consolidation,9.37,0.0,Current,0,1,1,2,1,1,0.0
28000, 36 months,15.99,984.26,D,10+ years,MORTGAGE,90000.0,Source Verified,debt_consolidation,22.46,0.0,Fully Paid,0,3,10,0,1,1,6750.0
5500, 36 months,7.02,169.88,A,10+ years,MORTGAGE,80000.0,Not Verified,debt_consolidation,10.97,0.0,Current,0,0,10,0,2,1,6000.0
2850, 36 months,6.71,87.63,A,10+ years,MORTGAGE,130000.0,Not Verified,debt_consolidation,12.76,0.0,Fully Paid,0,0,10,0,2,1,9750.0
30000, 36 months,19.42,1106.07,D,10+ years,MORTGAGE,100000.0,Verified,debt_consolidation,36.23,2.0,Current,0,3,10,0,0,1,7500.0
32500, 60 months,16.24,794.49,C,9 years,MORTGAGE,98750.0,Verified,home_improvement,21.4,0.0,Fully Paid,1,2,9,0,0,2,7406.25
19400, 36 months,9.71,623.35,B,5 years,RENT,55000.0,Verified,debt_consolidation,18.7,0.0,Fully Paid,0,1,5,2,0,1,0.0
34150, 60 months,12.62,770.4,C,10+ years,MORTGAGE,25000.0,Source Verified,debt_consolidation,3.6,0.0,Current,1,2,10,0,1,1,0.0
15000, 36 months,11.44,494.22,B,4 years,MORTGAGE,105000.0,Source Verified,credit_card,15.2,0.0,Fully Paid,0,1,4,0,1,3,7875.0
27325, 60 months,18.49,701.18,E,4 years,MORTGAGE,187000.0,Source Verified,credit_card,9.11,0.0,Charged Off,1,4,4,0,1,3,14025.0
7200, 36 months,10.99,235.69,B,10+ years,MORTGAGE,105000.0,Source Verified,debt_consolidation,20.05,4.0,Fully Paid,0,1,10,0,1,1,7875.0
35000, 36 months,13.11,1181.15,B,< 1 year,RENT,70000.0,Verified,credit_card,16.79,0.0,Fully Paid,0,1,0,2,0,3,5250.0
6600, 36 months,15.05,228.96,C,5 years,RENT,43000.0,Source Verified,debt_consolidation,29.71,0.0,Charged Off,0,2,5,2,1,1,0.0
16000, 36 months,7.89,500.58,A,5 years,MORTGAGE,64000.0,Source Verified,credit_card,18.01,0.0,Fully Paid,0,0,5,0,1,3,0.0
2000, 36 months,7.96,62.64,A,9 years,RENT,20000.0,Source Verified,other,1.74,0.0,Current,0,0,9,2,1,0,0.0
29000, 60 months,15.02,690.22,C,1 year,RENT,90000.0,Not Verified,debt_consolidation,22.59,0.0,Current,1,2,1,2,2,1,6750.0
35000, 36 months,13.67,1190.62,C,2 years,RENT,205639.0,Source Verified,debt_consolidation,15.51,2.0,Fully Paid,0,2,2,2,1,1,15422.925
9000, 36 months,6.03,273.92,A,7 years,MORTGAGE,60000.0,Not Verified,debt_consolidation,12.23,0.0,Fully Paid,0,0,7,0,2,1,0.0
16800, 36 months,13.99,574.11,C,7 years,MORTGAGE,55000.0,Verified,debt_consolidation,23.81,0.0,Current,0,2,7,0,0,1,0.0
18150, 60 months,24.5,527.42,F,3 years,RENT,50568.0,Source Verified,debt_consolidation,22.59,0.0,Fully Paid,1,5,3,2,1,1,0.0
20500, 36 months,14.49,705.54,C,3 years,RENT,60000.0,Not Verified,small_business,30.66,0.0,Charged Off,0,2,3,2,2,5,0.0
21000, 60 months,13.58,484.08,C,10+ years,MORTGAGE,125000.0,Not Verified,home_improvement,22.57,0.0,Fully Paid,1,2,10,0,2,2,9375.0
14000, 60 months,13.56,322.58,C,10+ years,MORTGAGE,120000.0,Not Verified,debt_consolidation,13.82,1.0,Current,1,2,10,0,2,1,9000.0
16250, 36 months,6.67,499.31,A,10+ years,MORTGAGE,92000.0,Not Verified,major_purchase,14.61,0.0,Current,0,0,10,0,2,7,6900.0
35000, 36 months,17.99,1265.16,D,< 1 year,MORTGAGE,145000.0,Source Verified,major_purchase,25.38,0.0,Charged Off,0,3,0,0,1,7,10875.0
5000, 36 months,8.18,157.1,B,1 year,RENT,41000.0,Not Verified,debt_consolidation,27.46,1.0,Fully Paid,0,1,1,2,2,1,0.0
9000, 36 months,11.99,298.89,B,,MORTGAGE,63600.0,Verified,debt_consolidation,25.68,0.0,Current,0,1,-1,0,0,1,0.0
10000, 60 months,11.99,222.4,B,2 years,RENT,55000.0,Source Verified,credit_card,21.47,0.0,Current,1,1,2,2,1,3,0.0
2000, 36 months,13.49,67.87,C,1 year,RENT,50000.0,Verified,other,16.06,0.0,Current,0,2,1,2,0,0,0.0
7000, 36 months,24.85,277.77,E,4 years,RENT,28800.0,Verified,debt_consolidation,6.08,0.0,Current,0,4,4,2,0,1,0.0
35000, 60 months,13.56,806.43,C,10+ years,RENT,70000.0,Not Verified,credit_card,21.12,0.0,Current,1,2,10,2,2,3,5250.0
6000, 36 months,11.44,197.69,B,10+ years,RENT,48000.0,Source Verified,debt_consolidation,30.81,0.0,Fully Paid,0,1,10,2,1,1,0.0
6075, 36 months,13.18,205.22,C,10+ years,RENT,39000.0,Not Verified,other,18.4,0.0,Fully Paid,0,2,10,2,2,0,0.0
4000, 36 months,9.43,128.01,B,7 years,MORTGAGE,90000.0,Source Verified,house,13.49,1.0,Current,0,1,7,0,1,9,6750.0
3200, 36 months,6.99,98.8,A,10+ years,MORTGAGE,135000.0,Source Verified,home_improvement,7.11,0.0,Fully Paid,0,0,10,0,1,2,10125.0
18000, 36 months,12.74,604.24,C,10+ years,RENT,110000.0,Not Verified,debt_consolidation,29.66,0.0,Current,0,2,10,2,2,1,8250.0
25000, 36 months,10.49,812.45,B,10+ years,RENT,125000.0,Not Verified,credit_card,20.68,1.0,Fully Paid,0,1,10,2,2,3,9375.0
25000, 60 months,13.65,577.18,C,8 years,MORTGAGE,50000.0,Not Verified,home_improvement,7.01,0.0,Fully Paid,1,2,8,0,2,2,0.0
14475, 60 months,13.56,333.52,C,8 years,MORTGAGE,100205.0,Not Verified,credit_card,9.52,1.0,Current,1,2,8,0,2,3,7515.375
1500, 36 months,22.35,57.56,D,< 1 year,ANY,45000.0,Not Verified,debt_consolidation,26.43,0.0,Current,0,3,0,3,2,1,0.0
20000, 60 months,18.84,517.06,E,10+ years,MORTGAGE,100000.0,Source Verified,debt_consolidation,11.73,0.0,Charged Off,1,4,10,0,1,1,7500.0
12000, 36 months,6.24,366.37,A,< 1 year,RENT,95000.0,Not Verified,credit_card,7.34,0.0,Fully Paid,0,0,0,2,2,3,7125.0
